"time","temp","id"
"1649302462","35.92","2"
"1649302468","38.66","2"
"1649302474","38.66","2"
"1649302481","35.58","2"
"1649302487","38.66","2"
"1649302493","38.66","2"
"1649302500","38.66","2"
"1649302506","38.66","2"
"1649302512","38.66","2"
"1649302519","38.66","2"
"1649302525","38.66","2"
"1649302531","38.66","2"
"1649302538","35.58","2"
"1649302544","38.32","2"
"1649302550","38.32","2"
"1649302557","38.32","2"
"1649302563","38.32","2"
"1649302570","38.32","2"
"1649302576","38.32","2"
"1649302582","38.32","2"
"1649302589","38.32","2"
"1649302595","38.32","2"
"1649302601","35.58","2"
"1649302608","35.58","2"
"1649302614","38.32","2"
"1649302620","35.92","2"
"1649302627","38.32","2"
"1649302633","38.32","2"
"1649302639","35.58","2"
"1649302646","35.58","2"
"1649302652","38.32","2"
"1649302658","38.32","2"
"1649302665","35.58","2"
"1649302671","35.58","2"
"1649302677","38.32","2"
"1649302684","38.32","2"
"1649302690","38.32","2"
"1649302696","38.32","2"
"1649302703","38.32","2"
"1649302709","38.32","2"
"1649302715","38.32","2"
"1649302722","35.58","2"
"1649304066","35.92","2"
"1649304187","35.92","1"
"1649304193","35.92","1"
"1649304199","38.66","1"
"1649304206","38.66","1"
"1649304212","36.27","1"
"1649304218","38.66","1"
"1649304225","38.66","1"
"1649304231","38.66","1"
"1649304237","38.66","1"
"1649304244","36.27","1"
"1649304250","38.66","1"
"1649304257","35.92","1"
"1649304263","38.66","1"
"1649304269","38.66","1"
"1649304276","38.66","1"
"1649304282","38.66","1"
"1649304289","38.66","1"
"1649304295","38.66","1"
"1649304301","38.66","1"
"1649304308","38.66","1"
"1649304314","36.27","1"
"1649304321","38.66","1"
"1649304327","38.66","1"
"1649304333","38.66","1"
"1649304340","38.66","1"
"1649304346","35.92","1"
"1649304352","38.66","1"
"1649304359","35.92","1"
"1649304365","38.66","1"
"1649304372","38.66","1"
"1649304378","38.66","1"
"1649304385","35.92","1"
"1649304391","35.58","1"
"1649304397","38.66","1"
"1649304404","35.58","1"
"1649304410","38.66","1"
"1649304416","38.66","1"
"1649304423","38.66","1"
"1649304429","38.66","1"
"1649304436","35.58","1"
"1649304442","38.32","1"
"1649304448","38.66","1"
"1649304455","38.32","1"
"1649304461","38.32","1"
"1649304467","38.32","1"
"1649304474","35.92","1"
"1649304480","38.66","1"
"1649304487","38.32","1"
"1649304493","35.58","1"
"1649304499","38.32","1"
"1649304506","38.32","1"
"1649304512","38.32","1"
"1649304519","38.66","1"
"1649304525","38.66","1"
"1649304531","38.32","1"
"1649304538","38.32","1"
"1649304544","38.66","1"
"1649304550","38.32","1"
"1649304557","35.92","1"
"1649305020","35.58","2"
"1649305026","35.58","2"
"1649305033","38.32","2"
"1649305039","38.32","2"
"1649305046","38.32","2"
"1649305052","38.32","2"
"1649305058","38.32","2"
"1649305065","38.32","2"
"1649305071","38.32","2"
"1649305077","38.32","2"
"1649305084","38.32","2"
"1649305090","38.32","2"
"1649305097","35.58","2"
"1649305103","37.98","2"
"1649305109","37.98","2"
"1649305116","37.98","2"
"1649305122","37.98","2"
"1649305128","35.58","2"
"1649305135","37.98","2"
"1649305141","37.98","2"
"1649305148","37.98","2"
"1649305154","37.98","2"
"1649305160","37.98","2"
"1649305167","37.98","2"
"1649305173","37.98","2"
"1649305179","37.98","2"
"1649305186","37.98","2"
"1649305192","37.63","2"
"1649305199","37.63","2"
"1649305205","37.63","2"
"1649305212","37.63","2"
"1649305218","37.63","2"
"1649305225","35.24","2"
"1649305231","35.24","2"
"1649305237","37.98","2"
"1649305244","37.63","2"
"1649305250","37.98","2"
"1649305257","35.24","2"
"1649305263","37.63","2"
"1649305269","37.63","2"
"1649305276","35.24","2"
"1649305282","37.63","2"
"1649305288","37.63","2"
"1649305295","37.63","2"
"1649305301","37.63","2"
"1649305308","37.63","2"
"1649305314","37.63","2"
"1649305321","37.63","2"
"1649305327","35.24","2"
"1649305333","37.63","2"
"1649305340","35.24","2"
"1649305346","37.63","2"
"1649305353","37.63","2"
"1649305359","37.63","2"
"1649305365","37.63","2"
"1649305372","37.63","2"
"1649305378","37.63","2"
"1649305384","37.63","2"
"1649305391","35.24","2"
