"time","temp","id"
"1649299691","37.63","1"
"1649299697","37.63","1"
"1649299704","39.69","1"
"1649299710","39.69","1"
"1649299717","39.69","1"
"1649299723","37.63","1"
"1649299730","39.69","1"
"1649299736","39.69","1"
"1649299743","39.69","1"
"1649299749","39.69","1"
"1649299756","39.69","1"
"1649299762","39.69","1"
"1649299769","37.63","1"
"1649299775","39.69","1"
"1649299782","39.69","1"
"1649299788","39.69","1"
"1649299795","39.69","1"
"1649299801","37.29","1"
"1649299808","39.69","1"
"1649299814","39.69","1"
"1649299820","39.69","1"
"1649299827","39.69","1"
"1649299833","39.69","1"
"1649299840","39.69","1"
"1649299846","37.29","1"
"1649299853","39.69","1"
"1649299859","37.63","1"
"1649299866","39.69","1"
"1649299872","39.69","1"
"1649299879","37.29","1"
"1649299885","39.69","1"
"1649299891","39.69","1"
"1649299898","39.69","1"
"1649299904","37.29","1"
"1649299911","39.69","1"
"1649299917","39.69","1"
"1649299924","39.69","1"
"1649299930","39.69","1"
"1649299936","37.29","1"
"1649299943","37.29","1"
"1649299949","37.29","1"
"1649299955","39.69","1"
"1649299962","39.69","1"
"1649299968","39.69","1"
"1649299975","39.69","1"
"1649299981","37.29","1"
"1649299987","39.69","1"
"1649299994","39.69","1"
"1649300000","39.69","1"
"1649300007","39.69","1"
"1649300013","39.69","1"
"1649300019","39.69","1"
"1649300026","39.69","1"
"1649300032","37.29","1"
"1649300039","39.69","1"
"1649300045","39.69","1"
"1649300052","39.69","1"
"1649300058","39.69","1"
"1649300064","39.69","1"
"1649300862","36.95","2"
"1649300868","36.95","2"
"1649300874","39","2"
"1649300881","39","2"
"1649300887","39","2"
"1649300893","39","2"
"1649300900","36.95","2"
"1649300906","39","2"
"1649300912","39","2"
"1649300919","39","2"
"1649300926","39","2"
"1649300932","39","2"
"1649300938","39","2"
"1649300945","36.95","2"
"1649300952","36.27","2"
"1649300958","36.27","2"
"1649300965","39","2"
"1649300971","39","2"
"1649300978","36.27","2"
"1649300984","36.27","2"
"1649300990","36.27","2"
"1649300997","36.27","2"
"1649301003","39","2"
"1649301010","36.27","2"
"1649301016","36.27","2"
"1649301023","36.27","2"
"1649301029","36.27","2"
"1649301036","38.66","2"
"1649301042","38.66","2"
"1649301049","38.66","2"
"1649301055","36.27","2"
"1649301062","36.27","2"
"1649301068","38.66","2"
"1649301075","38.66","2"
"1649301081","38.66","2"
"1649301088","38.66","2"
"1649301094","36.27","2"
"1649301101","36.27","2"
"1649301107","36.27","2"
"1649301114","36.27","2"
"1649301120","38.66","2"
"1649301126","36.27","2"
"1649301133","38.66","2"
"1649301139","38.66","2"
"1649301146","36.27","2"
"1649301152","38.66","2"
"1649301158","38.66","2"
"1649301165","38.66","2"
"1649301171","38.66","2"
"1649301178","38.66","2"
"1649301184","38.66","2"
"1649301190","38.66","2"
"1649301197","38.66","2"
"1649301203","38.66","2"
"1649301209","38.66","2"
"1649301216","38.66","2"
"1649301222","38.66","2"
"1649301229","38.66","2"
"1649301235","38.66","2"
"1649301787","36.27","2"
"1649301814","36.27","1"
"1649301820","36.27","1"
"1649301826","36.27","1"
"1649301833","38.66","1"
"1649301839","38.66","1"
"1649301845","36.27","1"
"1649301852","38.66","1"
"1649301858","38.66","1"
"1649301864","38.66","1"
"1649301871","36.27","1"
"1649301877","38.66","1"
"1649301884","38.66","1"
"1649301890","38.66","1"
"1649301896","38.66","1"
"1649301903","38.66","1"
"1649301909","38.66","1"
"1649301915","38.66","1"
"1649301922","38.66","1"
"1649301928","39","1"
"1649301934","38.66","1"
"1649301941","38.66","1"
"1649301947","38.66","1"
"1649301954","39","1"
"1649301960","38.66","1"
"1649301966","36.27","1"
"1649301973","39","1"
"1649301979","38.66","1"
"1649301985","39","1"
"1649301992","39","1"
"1649301998","39","1"
"1649302005","36.27","1"
"1649302011","38.66","1"
"1649302017","39","1"
"1649302024","39","1"
"1649302030","39","1"
"1649302036","39","1"
"1649302043","39","1"
"1649302049","38.66","1"
"1649302055","39","1"
"1649302062","39","1"
"1649302068","39","1"
"1649302075","39","1"
"1649302081","36.27","1"
"1649302088","36.27","1"
"1649302094","36.27","1"
"1649302101","38.66","1"
"1649302107","39","1"
"1649302113","39","1"
"1649302120","38.66","1"
"1649302126","39","1"
"1649302133","36.27","1"
"1649302139","38.66","1"
"1649302146","39","1"
"1649302152","38.66","1"
"1649302158","39","1"
"1649302165","39","1"
"1649302171","36.27","1"
"1649302178","36.27","1"
"1649302184","39","1"
"1649302320","36.27","1"
"1649302354","36.27","2"
"1649302360","36.27","2"
"1649302366","38.66","2"
"1649302373","38.66","2"
"1649302379","38.66","2"
"1649302386","38.66","2"
"1649302392","35.92","2"
"1649302398","38.66","2"
"1649302404","38.66","2"
"1649302411","38.66","2"
"1649302417","38.66","2"
"1649302424","38.66","2"
"1649302430","38.66","2"
"1649302436","38.66","2"
"1649302443","38.66","2"
"1649302449","38.66","2"
"1649302455","38.66","2"
